,id,innings,overs,ball_number,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team
233,1312199,1,0,1,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
234,1312199,1,0,2,V Kohli,TA Boult,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
236,1312199,1,0,4,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
237,1312199,1,0,5,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
238,1312199,1,0,6,V Kohli,TA Boult,F du Plessis,,6,0,6,0,0,,,,Royal Challengers Bangalore
241,1312199,1,1,3,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
242,1312199,1,1,4,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
243,1312199,1,1,5,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,1,V Kohli,caught,SV Samson,Royal Challengers Bangalore
469,1312198,1,0,1,V Kohli,Mohsin Khan,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
470,1312198,1,0,2,V Kohli,Mohsin Khan,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
471,1312198,1,0,3,V Kohli,Mohsin Khan,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
472,1312198,1,0,4,V Kohli,Mohsin Khan,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
473,1312198,1,0,5,V Kohli,Mohsin Khan,F du Plessis,,3,0,3,0,0,,,,Royal Challengers Bangalore
476,1312198,1,1,1,V Kohli,PVD Chameera,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
477,1312198,1,1,2,V Kohli,PVD Chameera,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
478,1312198,1,1,3,V Kohli,PVD Chameera,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
479,1312198,1,1,4,V Kohli,PVD Chameera,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
482,1312198,1,2,1,V Kohli,Mohsin Khan,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
483,1312198,1,2,2,V Kohli,Mohsin Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
484,1312198,1,2,3,V Kohli,Mohsin Khan,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
485,1312198,1,2,4,V Kohli,Mohsin Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
486,1312198,1,2,5,V Kohli,Mohsin Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
488,1312198,1,3,1,V Kohli,KH Pandya,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
491,1312198,1,3,4,V Kohli,KH Pandya,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
492,1312198,1,3,5,V Kohli,KH Pandya,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
500,1312198,1,5,1,V Kohli,KH Pandya,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
510,1312198,1,6,5,V Kohli,PVD Chameera,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
512,1312198,1,7,1,V Kohli,Ravi Bishnoi,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
514,1312198,1,7,3,V Kohli,Ravi Bishnoi,RM Patidar,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
515,1312198,1,7,4,V Kohli,Ravi Bishnoi,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
516,1312198,1,7,5,V Kohli,Ravi Bishnoi,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
518,1312198,1,7,7,V Kohli,Ravi Bishnoi,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
520,1312198,1,8,2,V Kohli,Avesh Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
521,1312198,1,8,3,V Kohli,Avesh Khan,RM Patidar,,0,0,0,0,1,V Kohli,caught,Mohsin Khan,Royal Challengers Bangalore
1813,1304113,2,0,1,V Kohli,Mohammed Shami,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1819,1304113,2,1,1,V Kohli,HH Pandya,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1822,1304113,2,1,4,V Kohli,HH Pandya,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1823,1304113,2,1,5,V Kohli,HH Pandya,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1825,1304113,2,2,1,V Kohli,Mohammed Shami,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1826,1304113,2,2,2,V Kohli,Mohammed Shami,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1827,1304113,2,2,3,V Kohli,Mohammed Shami,F du Plessis,wides,0,5,5,0,0,,,,Royal Challengers Bangalore
1828,1304113,2,2,4,V Kohli,Mohammed Shami,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1829,1304113,2,2,5,V Kohli,Mohammed Shami,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1830,1304113,2,2,6,V Kohli,Mohammed Shami,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1832,1304113,2,3,1,V Kohli,HH Pandya,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1833,1304113,2,3,2,V Kohli,HH Pandya,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1834,1304113,2,3,3,V Kohli,HH Pandya,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1835,1304113,2,3,4,V Kohli,HH Pandya,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1836,1304113,2,3,5,V Kohli,HH Pandya,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
1837,1304113,2,3,6,V Kohli,HH Pandya,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1839,1304113,2,4,1,V Kohli,Rashid Khan,F du Plessis,,2,0,2,0,0,,,,Royal Challengers Bangalore
1840,1304113,2,4,2,V Kohli,Rashid Khan,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1842,1304113,2,4,4,V Kohli,Rashid Khan,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1843,1304113,2,4,5,V Kohli,Rashid Khan,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1845,1304113,2,5,1,V Kohli,Yash Dayal,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1846,1304113,2,5,2,V Kohli,Yash Dayal,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1847,1304113,2,5,3,V Kohli,Yash Dayal,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1848,1304113,2,5,4,V Kohli,Yash Dayal,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
